0607 - PAISLEY BLVD at MORRISON AVE,607,4W
3169 - DUNDAS ST W west of MAVIS RD,3169,4W
1195 - DUNDAS ST at WOLFEDALE RD,1195,4W
1196 - DUNDAS ST at CEDARGLEN GATE,1196,4W
0600 - GLENGARRY RD at DUNDAS ST,600,4W
0446 - LONG BRANCH GO STATION,446,5N
0471 - LAKESHORE RD at FORTY-THIRD ST,471,5N
0447 - LAKESHORE RD west of FORTY-THIRD ST,447,5N
0448 - LAKESHORE RD E at DETA RD,448,5N
0408 - LAKESHORE RD E at DIXIE RD,408,5N
0450 - LAKESHORE RD E west of FERGUS AVE,450,5N
0451 - LAKESHORE RD E at HAIG BLVD,451,5N
2745 - LAKESHORE RD E at HYDRO RD,2745,5N
0452 - LAKESHORE RD E at OGDEN AVE,452,5N
0469 - OGDEN AVE at GARDNER AVE,469,5N
0468 - OGDEN AVE at PELHAM AVE,468,5N
0467 - OGDEN AVE at ATWATER AVE,467,5N
0449 - OGDEN AVE at DELCO AVE,449,5N
0466 - OGDEN AVE at STRATHY AVE,466,5N
0465 - OGDEN AVE north of STRATHY AVE,465,5N
0464 - OGDEN AVE at SOUTH SERVICE RD,464,5N
0463 - SOUTH SERVICE RD at APPLEWOOD RD,463,5N
0462 - SOUTH SERVICE RD at HAIG BLVD,462,5N
0470 - SOUTH SERVICE RD at DIXIE MALL ACCESS,470,5N
0461 - DIXIE MALL BUS TERMINAL PLATFORM A,461,5N
0459 - DIXIE RD at SHERWAY DR,459,5N
0458 - DIXIE RD at KENDALL RD,458,5N
0879 - DIXIE RD at CATERPILLAR RD,879,5N
0880 - DIXIE RD at BLUNDELL RD,880,5N
1091 - DIXIE RD at DUNDAS ST,1091,5N
1355 - DIXIE RD FIRST STOP north of DUNDAS ST,1355,5N
1364 - DIXIE RD SECOND STOP north of DUNDAS ST,1364,5N
1356 - DIXIE RD at GOLDEN ORCHARD RD,1356,5N
1357 - DIXIE RD at BLOOR ST,1357,5N
1358 - DIXIE RD at WINDING TRAIL,1358,5N
1359 - DIXIE RD at BURNHAMTHORPE RD,1359,5N
1550 - DIXIE RD at ROCKWOOD MALL,1550,5N
1549 - DIXIE RD at RATHBURN RD,1549,5N
1548 - DIXIE RD at HICKORY DR,1548,5N
3122 - DIXIE RD at DIXIE STATION,3122,5N
2047 - DIXIE RD at SOUTH GATEWAY RD,2047,5N
2046 - DIXIE RD at CRESTLAWN DR,2046,5N
2045 - DIXIE RD at EGLINTON AVE,2045,5N
2043 - DIXIE RD at AIMCO BLVD,2043,5N
2042 - DIXIE RD north of AIMCO BLVD,2042,5N
2041 - DIXIE RD at MATHESON BLVD,2041,5N
2040 - DIXIE RD at AEROWOOD DR,2040,5N
2638 - DIXIE RD at SHAWSON DR,2638,5N
2637 - DIXIE RD at BRITANNIA RD,2637,5N
2501 - DIXIE RD north of BRITANNIA RD,2501,5N
2655 - DIXIE RD at TRINITY DR,2655,5N
2502 - DIXIE RD at MEYERSIDE DR,2502,5N
2503 - DIXIE RD at COURTNEYPARK DR,2503,5N
2504 - DIXIE RD north of COURTNEYPARK DR,2504,5N
0886 - MID-WAY BLVD at DAVAND DR,886,5N
1004 - MID-WAY BLVD west of DAVAND DR,1004,5N
0925 - COLUMBUS RD FIRST STOP north of MID-WAY BLVD,925,5N
0941 - COLUMBUS RD SECOND STOP north of MID-WAY BLVD,941,5N
0942 - COLUMBUS RD THIRD STOP north of MID-WAY BLVD,942,5N
0966 - COLUMBUS RD south of DAVAND DR,966,5N
0967 - COLUMBUS RD at DERRY RD,967,5N
2493 - CARDIFF BLVD at KHALSA DR,2493,5N
2509 - CARDIFF BLVD at TRANSMARK CRT,2509,5N
2591 - CARDIFF BLVD east of TOMKEN RD,2591,5N
5100 - LORIMAR DR at CARDIFF BLVD,5100,5N
5100 - LORIMAR DR at CARDIFF BLVD,5100,5S
