0430 - OGDEN AVE at STRATHY AVE,430
0431 - OGDEN AVE south of STRATHY AVE,431
0420 - OGDEN AVE at HALLIDAY AVE,420
0432 - OGDEN AVE at ATWATER AVE,432
0433 - OGDEN AVE at PELHAM AVE,433
0434 - OGDEN AVE at LAKESHORE RD,434
0440 - LAKESHORE RD E at STRATHY AVE,440
2744 - LAKESHORE RD E at HYDRO RD,2744
0441 - LAKESHORE RD E at HAIG BLVD,441
0442 - LAKESHORE RD E east of ORCHARD RD,442
0443 - LAKESHORE RD E at DIXIE RD,443
0444 - LAKESHORE RD E east of DETA RD,444
0445 - LAKESHORE RD E east of ISLAND RD,445
0472 - LAKESHORE RD at FORTY-FIRST ST,472
1106 - DUNDAS ST west of ERINDALE STATION RD,1106
1174 - THE CREDIT WOODLANDS at BALLYCLARE DR,1174
1108 - THE CREDIT WOODLANDS at CREDIT HEIGHTS DR,1108
1173 - FORESTWOOD DR at THE CREDIT WOODLANDS,1173
1110 - FORESTWOOD DR at LINDENLEA DR,1110
1172 - FORESTWOOD DR at VALMARIE AVE,1172
1112 - FORESTWOOD DR at ERINDALE STATION RD,1112
1114 - FORESTWOOD DR at JESSICA CRT,1114
1134 - MCBRIDE AVE at FORESTWOOD DR,1134
1116 - MCBRIDE AVE at WESTLOCK RD,1116
1117 - MCBRIDE AVE at EAGLEMOUNT CRES,1117
1118 - MCBRIDE AVE at ERINDALE STATION RD,1118
1119 - MCBRIDE AVE at CARILLION AVE,1119
1120 - MCBRIDE AVE at ELLENGALE DR,1120
1121 - THE CREDIT WOODLANDS at MCBRIDE AVE,1121
1794 - THE CREDIT WOODLANDS at ERINMORE DR,1794
1122 - THE CREDIT WOODLANDS at QUEENSTON DR,1122
1123 - QUEENSTON DR at FELLMORE DR,1123
1124 - QUEENSTON DR at ASHCROFT CRES,1124
1795 - QUEENSTON DR at CHALICE CRES (south leg),1795
1125 - QUEENSTON DR at FREEPORT DR,1125
1126 - QUEENSTON DR at THE CREDIT WOODLANDS,1126
1127 - BURNHAMTHORPE RD W at THE CREDIT WOODLANDS,1127
1167 - BURNHAMTHORPE RD W east of THE CREDIT WOODLANDS,1167
1165 - BURNHAMTHORPE RD W at CENTRAL PKY W,1165
1128 - BURNHAMTHORPE RD W at ERINDALE STATION RD,1128
3039 - ERINDALE STATION RD south of BURNHAMTHORPE RD,3039
3125 - CENTRAL PKY at ERINDALE STATION RD,3125
0661 - CENTRAL PKY W at SEMENYK CRT,661
0662 - CENTRAL PKY W at HAWKESTONE RD,662
0663 - CENTRAL PKY W at WOLFEDALE RD,663
3040 - CENTRAL PKY at MAVIS RD,3040
3041 - CENTRAL PKY at GRAND PARK DR,3041
3042 - CENTRAL PKY at REDMOND RD,3042
1876 - CENTRAL PKY at COPERNICUS DR,1876
1668 - CENTRAL PKY W east of COPERNICUS DR,1668
1625 - CONFEDERATION south of RIEL,1625
1626 - CONFEDERATION PKY at RIEL DR,1626
1627 - CONFEDERATION PKY at WEBB DR,1627
3043 - CONFEDERATION PKY at BURNHAMTHORPE RD,3043
1498 - LIVING ARTS DR at CITY CENTRE DR,1498
3033 - LIVING ARTS DR at PRINCESS ROYAL DR,3033
1428 - LIVING ARTS DR at PRINCE of WALES DR,1428
1446 - LIVING ARTS DR at SQUARE ONE DR,1446
4030 - LIVING ARTS DR at RATHBURN RD,4030
1456 - RATHBURN RD at DUKE OF YORK BLVD,1456
0766 - CITY CENTRE BUS TERMINAL PLATFORM K,766
4020 - LIVING ARTS DR at RATHBURN RD,4020
4021 - LIVING ARTS DR at PRINCESS ROYAL DR,4021
1511 - LIVING ARTS DR at BURNHAMTHORPE RD,1511
1641 - CONFEDERATION PKY at WEBB DR,1641
1642 - CONFEDERATION PKY at CROATIA DR,1642
